id,land_use,xcentroid,ycentroid
"28","residential
",273647.352,"2349853"
"1","industrial
",282027.980,"2333156"
"2","industrial
",276852.454,"2334055"
"3","industrial
",274847.233,"2339338"
"4","industrial
",276851.942,"2338652"
"5","industrial
",276165.102,"2342010"
"6","industrial
",273749.312,"2342355"
"7",institutional,262551.355,"2338983"
"8",institutional,269865.226,"2341720"
"9",institutional,273078.292,"2344034"
"10","industrial
",275759.589,"2348118"
"11","industrial
",273470.493,"2347762"
"12","commercial
",276475.278,"2344852"
"13",Aiport,265265.151,"2337012"
"14","residential
",262444.052,"2334574"
"15","industrial
",265071.198,"2339600"
"16","residential
",267926.501,"2340264"
"17",agricultural,271555.915,"2342830"
"18","residential
",269352.122,"2342737"
"19","residential
",271466.320,"2340846"
"20",agricultural,275135.103,"2354512"
"21","residential
",270459.358,"2347047"
"22","residential
",274341.870,"2341013"
"23","residential
",274277.622,"2345634"
"24","residential
",278481.915,"2342669"
"25","residential
",278382.348,"2341016"
"26","residential
",278842.715,"2345850"
"27","residential
",280208.057,"2348447"
"29","residential
",278081.745,"2350822"
"30",agricultural,269733.276,"2338032"
"31",agricultural,274067.486,"2336463"
"32",agricultural,279504.102,"2351726"
"33",agricultural,263244.228,"2337057"
"34","residential
",272552.049,"2343121"
